model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,6,Fin,2,1,0,0.56,0.688,0.56,0.481,0.0024,0.007068
LLaMA,6,Fin,3,0,0,0.56,0.618,0.56,0.526,0.0064,0.004997
LLaMA,6,Fin,3,1,1,0.56,0.716,0.56,0.474,0.0014,0.001688
LLaMA,6,Fin,2,1,1,0.55,0.68,0.55,0.472,0.001,0.001119
LLaMA,6,Fin,4,1,0,0.55,0.679,0.55,0.462,0.001,0.004658
LLaMA,6,Fin,3,0,1,0.53,0.501,0.53,0.456,0.0016,0.006214
LLaMA,6,Fin,1,1,1,0.51,0.605,0.51,0.433,0.0034,0.000967
LLaMA,6,Fin,3,1,0,0.51,0.544,0.51,0.419,0.0014,0.001846
LLaMA,6,Fin,1,1,0,0.5,0.498,0.5,0.437,0.003,0.005279
LLaMA,6,Fin,4,1,1,0.5,0.599,0.5,0.412,0.006,0.00638
LLaMA,6,Func0,2,1,1,0.63,0.78,0.63,0.559,0.0086,0.018296
LLaMA,6,Func0,4,1,0,0.62,0.656,0.62,0.547,0.0146,0.030139
LLaMA,6,Func0,4,0,0,0.61,0.722,0.61,0.555,0.0034,0.010282
LLaMA,6,Func0,1,1,0,0.6,0.619,0.6,0.549,0.006,0.014719
LLaMA,6,Func0,2,0,1,0.59,0.566,0.59,0.49,0.0094,0.025805
LLaMA,6,Func0,3,1,0,0.59,0.461,0.59,0.484,0.0144,0.036623
LLaMA,6,Func0,3,0,1,0.58,0.543,0.58,0.484,0.0086,0.023953
LLaMA,6,Func0,3,1,1,0.58,0.559,0.58,0.475,0.0086,0.023869
LLaMA,6,Func0,4,0,1,0.58,0.545,0.58,0.488,0.0046,0.017577
LLaMA,6,Func0,1,1,1,0.56,0.527,0.56,0.489,0.0094,0.021916
LLaMA,6,Func0,2,0,0,0.56,0.643,0.56,0.497,0.0014,0.00445
LLaMA,6,Func0,4,1,1,0.56,0.496,0.56,0.459,0.0064,0.019361
LLaMA,6,Func0,1,0,1,0.55,0.546,0.55,0.469,0.003,0.011737
LLaMA,6,Func0,1,0,0,0.54,0.465,0.54,0.46,0.0074,0.01826
LLaMA,6,Func0,2,1,0,0.54,0.498,0.54,0.449,0.0074,0.018114
LLaMA,6,Func0,3,0,0,0.54,0.446,0.54,0.456,0.0034,0.013759
LLaMA,6,Func2,4,0,0,0.56,0.523,0.56,0.497,0.0034,0.012649
LLaMA,6,Func2,4,1,1,0.53,0.424,0.53,0.419,0.0036,0.013757
LLaMA,6,Func2,4,0,1,0.52,0.472,0.52,0.418,0.0006,0.005232
LLaMA,6,Func2,2,1,0,0.51,0.478,0.51,0.44,0.0024,0.00713
LLaMA,6,Func2,2,0,0,0.5,0.465,0.5,0.431,0.002,0.006103
LLaMA,6,Func2,4,1,0,0.5,0.579,0.5,0.421,0.002,0.000163
LLaMA,6,Func2,2,0,1,0.49,0.529,0.49,0.414,0.0064,0.006369
LLaMA,6,Func2,2,1,1,0.48,0.38,0.48,0.375,0.0056,0.006843
LLaMA,6,Func2,3,1,0,0.48,0.379,0.48,0.384,0.0026,0.003199
LLaMA,6,Func2,1,1,1,0.47,0.453,0.47,0.388,0.0046,0.002194
LLaMA,6,Func2,3,0,0,0.47,0.359,0.47,0.372,0.0016,0.002183
LLaMA,6,Func2,3,1,1,0.46,0.325,0.46,0.351,0.0074,0.004839
LLaMA,6,Func2,1,1,0,0.45,0.439,0.45,0.381,0.007,0.002656
LLaMA,6,Func2,3,0,1,0.45,0.333,0.45,0.35,0.01,0.008548
LLaMA,6,Func2,1,0,0,0.43,0.345,0.43,0.367,0.0006,0.003738
LLaMA,6,Func2,1,0,1,0.41,0.396,0.41,0.356,0.0094,0.004423
LLaMA,6,Func_i,1,0,0,0.71,0.807,0.71,0.675,0.0114,0.017894
LLaMA,6,Func_i,1,1,0,0.66,0.793,0.66,0.601,0.0104,0.022187
LLaMA,6,Func_i,2,0,0,0.66,0.748,0.66,0.615,0.0094,0.016631
LLaMA,6,Func_i,3,0,0,0.66,0.792,0.66,0.596,0.0174,0.031351
LLaMA,6,Func_i,3,1,0,0.66,0.771,0.66,0.611,0.0074,0.015561
LLaMA,6,Func_i,3,1,1,0.62,0.575,0.62,0.529,0.0166,0.040565
LLaMA,6,Func_i,2,0,1,0.61,0.663,0.61,0.543,0.0094,0.021787
LLaMA,6,Func_i,3,0,1,0.61,0.668,0.61,0.542,0.0094,0.020165
LLaMA,6,Func_i,2,1,0,0.59,0.563,0.59,0.524,0.0064,0.018471
LLaMA,6,Func_i,1,0,1,0.56,0.6,0.56,0.479,0.0014,0.007081
LLaMA,6,Func_i,1,1,1,0.56,0.429,0.56,0.45,0.0064,0.021887
LLaMA,6,Func_i,2,1,1,0.49,0.355,0.49,0.381,0.0024,0.008474
LLaMA,6,Gener,1,1,0,0.69,0.724,0.69,0.674,0.0034,0.005187
LLaMA,6,Gener,2,1,0,0.68,0.705,0.68,0.655,0.0096,0.017159
LLaMA,6,Gener,3,0,0,0.68,0.768,0.68,0.652,0.0006,0.001815
LLaMA,6,Gener,3,1,0,0.65,0.707,0.65,0.611,0.008,0.014256
LLaMA,6,Gener,1,0,0,0.63,0.64,0.63,0.589,0.0116,0.022993
LLaMA,6,Gener,2,0,0,0.61,0.695,0.61,0.569,0.0014,0.003246
LLaMA,6,Gener,3,1,1,0.58,0.687,0.58,0.513,0.0026,0.006628
LLaMA,6,Gener,1,1,1,0.57,0.636,0.57,0.511,0.0016,0.005811
LLaMA,6,Gener,3,0,1,0.57,0.477,0.57,0.484,0.0126,0.029421
LLaMA,6,Gener,2,1,1,0.53,0.532,0.53,0.442,0.0006,0.005339
LLaMA,6,Gener,1,0,1,0.52,0.521,0.52,0.468,0.0026,0.006013
LLaMA,6,Gener,2,0,1,0.48,0.561,0.48,0.427,0.0046,0.001713
LLaMA,6,Groupe,2,0,1,0.8,0.849,0.8,0.791,0.004,0.005261
LLaMA,6,Groupe,2,0,0,0.74,0.806,0.74,0.722,0.0034,0.005731
LLaMA,6,Groupe,2,1,1,0.68,0.805,0.68,0.625,0.0136,0.027178
LLaMA,6,Groupe,2,1,0,0.65,0.77,0.65,0.603,0.004,0.009297
LLaMA,6,Groupe,1,0,1,0.61,0.594,0.61,0.553,0.0064,0.017396
LLaMA,6,Groupe,1,1,1,0.55,0.511,0.55,0.473,0.004,0.01351
LLaMA,6,Groupe,1,1,0,0.54,0.602,0.54,0.473,0.0004,0.002441
LLaMA,6,Groupe,1,0,0,0.53,0.564,0.53,0.493,0.0026,0.00269
LLaMA,6,Incep,2,0,1,0.67,0.605,0.67,0.596,0.0216,0.049224
LLaMA,6,Incep,1,1,0,0.65,0.781,0.65,0.591,0.008,0.018731
LLaMA,6,Incep,4,1,0,0.65,0.77,0.65,0.597,0.007,0.014531
LLaMA,6,Incep,1,0,0,0.64,0.766,0.64,0.583,0.0054,0.013123
LLaMA,6,Incep,1,0,1,0.63,0.768,0.63,0.568,0.0046,0.012638
LLaMA,6,Incep,2,1,0,0.63,0.736,0.63,0.584,0.0026,0.007066
LLaMA,6,Incep,2,1,1,0.63,0.783,0.63,0.555,0.0106,0.023002
LLaMA,6,Incep,2,0,0,0.61,0.704,0.61,0.558,0.0024,0.005334
LLaMA,6,Incep,4,0,0,0.6,0.645,0.6,0.544,0.008,0.016635
LLaMA,6,Incep,1,1,1,0.57,0.548,0.57,0.465,0.0056,0.018842
LLaMA,6,Incep,4,0,1,0.56,0.433,0.56,0.468,0.0144,0.034883
LLaMA,6,Incep,4,1,1,0.55,0.538,0.55,0.436,0.003,0.012699
LLaMA,6,Incep,3,0,1,0.53,0.435,0.53,0.439,0.0016,0.010893
LLaMA,6,Incep,3,1,1,0.53,0.508,0.53,0.425,0.0016,0.006462
LLaMA,6,Incep,3,1,0,0.51,0.388,0.51,0.405,0.0034,0.012322
LLaMA,6,Incep,3,0,0,0.5,0.368,0.5,0.405,0.002,0.011396
LLaMA,6,Instr,2,0,1,0.82,0.885,0.82,0.8,0.0216,0.028744
LLaMA,6,Instr,2,1,1,0.8,0.867,0.8,0.782,0.013,0.017428
LLaMA,6,Instr,1,0,0,0.71,0.816,0.71,0.672,0.0104,0.017959
LLaMA,6,Instr,1,0,1,0.71,0.806,0.71,0.672,0.0134,0.023365
LLaMA,6,Instr,1,1,0,0.7,0.8,0.7,0.663,0.007,0.015154
LLaMA,6,Instr,2,1,0,0.7,0.771,0.7,0.675,0.003,0.006673
LLaMA,6,Instr,1,1,1,0.69,0.811,0.69,0.649,0.0054,0.012123
LLaMA,6,Instr,2,0,0,0.69,0.781,0.69,0.65,0.0144,0.022149
LLaMA,6,Labreal12,1,0,0,0.69,0.704,0.69,0.629,0.0214,0.044475
LLaMA,6,Labreal12,2,0,0,0.68,0.805,0.68,0.625,0.0136,0.027178
LLaMA,6,Labreal12,1,0,1,0.66,0.798,0.66,0.596,0.0144,0.027953
LLaMA,6,Labreal12,2,0,1,0.65,0.779,0.65,0.586,0.013,0.025765
LLaMA,6,Labreal12,4,0,1,0.65,0.631,0.65,0.589,0.018,0.03671
LLaMA,6,Labreal12,3,0,0,0.64,0.58,0.64,0.564,0.0134,0.036151
LLaMA,6,Labreal12,3,0,1,0.62,0.751,0.62,0.554,0.0056,0.014467
LLaMA,6,Labreal12,4,0,0,0.62,0.538,0.62,0.555,0.0166,0.038826
LLaMA,6,Labreal12,1,1,0,0.61,0.64,0.61,0.542,0.0064,0.017363
LLaMA,6,Labreal12,2,1,0,0.6,0.63,0.6,0.528,0.007,0.02001
LLaMA,6,Labreal12,3,1,0,0.6,0.729,0.6,0.532,0.006,0.012758
LLaMA,6,Labreal12,3,1,1,0.6,0.773,0.6,0.508,0.01,0.020995
LLaMA,6,Labreal12,1,1,1,0.57,0.45,0.57,0.46,0.0076,0.024842
LLaMA,6,Labreal12,2,1,1,0.56,0.471,0.56,0.466,0.0064,0.020525
LLaMA,6,Labreal12,4,1,0,0.55,0.509,0.55,0.482,0.011,0.023242
LLaMA,6,Labreal12,4,1,1,0.54,0.476,0.54,0.45,0.0054,0.016101
LLaMA,6,Liqu,2,0,1,0.66,0.77,0.66,0.615,0.0054,0.010237
LLaMA,6,Liqu,1,1,1,0.64,0.772,0.64,0.574,0.0124,0.023899
LLaMA,6,Liqu,2,0,0,0.64,0.739,0.64,0.593,0.0054,0.010255
LLaMA,6,Liqu,2,1,0,0.64,0.763,0.64,0.594,0.0014,0.003754
LLaMA,6,Liqu,2,1,1,0.64,0.766,0.64,0.577,0.0124,0.023018
LLaMA,6,Liqu,1,0,0,0.62,0.706,0.62,0.575,0.0046,0.008407
LLaMA,6,Liqu,1,0,1,0.62,0.751,0.62,0.554,0.0056,0.014467
LLaMA,6,Liqu,1,1,0,0.62,0.727,0.62,0.562,0.0056,0.014235
LLaMA,6,Liqu,4,0,0,0.62,0.714,0.62,0.583,0.0016,0.002083
LLaMA,6,Liqu,4,0,1,0.62,0.726,0.62,0.571,0.0046,0.009565
LLaMA,6,Liqu,4,1,0,0.59,0.717,0.59,0.52,0.0024,0.007346
LLaMA,6,Liqu,4,1,1,0.57,0.726,0.57,0.494,0.0006,0.002315
LLaMA,6,Liqu,3,0,0,0.55,0.632,0.55,0.503,0.005,0.004467
LLaMA,6,Liqu,3,0,1,0.54,0.626,0.54,0.466,0.0104,0.015945
LLaMA,6,Liqu,3,1,0,0.54,0.569,0.54,0.492,0.0024,0.00292
LLaMA,6,Liqu,3,1,1,0.52,0.456,0.52,0.419,0.0016,0.006485
LLaMA,6,Loc,2,1,0,0.68,0.742,0.68,0.658,0.0036,0.005189
LLaMA,6,Loc,2,1,1,0.65,0.771,0.65,0.599,0.007,0.014256
LLaMA,6,Loc,1,0,0,0.63,0.766,0.63,0.571,0.0036,0.009851
LLaMA,6,Loc,2,0,0,0.63,0.748,0.63,0.578,0.0026,0.007958
LLaMA,6,Loc,2,0,1,0.63,0.757,0.63,0.577,0.0036,0.008049
LLaMA,6,Loc,1,0,1,0.56,0.625,0.56,0.469,0.0024,0.008614
LLaMA,6,Loc,1,1,0,0.55,0.589,0.55,0.464,0.001,0.007844
LLaMA,6,Loc,1,1,1,0.47,0.318,0.47,0.366,0.0016,0.001814
LLaMA,6,Magn,3,1,0,0.62,0.713,0.62,0.577,0.0006,0.00272
LLaMA,6,Magn,1,1,0,0.61,0.703,0.61,0.547,0.0074,0.01568
LLaMA,6,Magn,2,1,0,0.6,0.691,0.6,0.552,0.001,0.002734
LLaMA,6,Magn,3,0,1,0.59,0.682,0.59,0.537,0.0024,0.008876
LLaMA,6,Magn,3,1,1,0.58,0.526,0.58,0.493,0.0046,0.018835
LLaMA,6,Magn,1,0,0,0.57,0.495,0.57,0.486,0.0036,0.016403
LLaMA,6,Magn,2,0,0,0.57,0.503,0.57,0.484,0.0056,0.018533
LLaMA,6,Magn,2,1,1,0.55,0.493,0.55,0.441,0.006,0.018321
LLaMA,6,Magn,1,1,1,0.54,0.486,0.54,0.444,0.0014,0.010935
LLaMA,6,Magn,3,0,0,0.53,0.44,0.53,0.44,0.0036,0.012488
LLaMA,6,Magn,1,0,1,0.52,0.425,0.52,0.424,0.0026,0.00937
LLaMA,6,Magn,2,0,1,0.51,0.509,0.51,0.436,0.0034,0.005924
LLaMA,6,Modif_ajout_de_sens,2,0,1,0.6,0.654,0.6,0.563,0.006,0.008506
LLaMA,6,Modif_ajout_de_sens,2,0,0,0.56,0.625,0.56,0.513,0.0034,0.003279
LLaMA,6,Modif_ajout_de_sens,1,0,0,0.5,0.46,0.5,0.416,0.005,0.008312
LLaMA,6,Modif_ajout_de_sens,2,1,0,0.49,0.365,0.49,0.39,0.0034,0.009438
LLaMA,6,Modif_ajout_de_sens,2,1,1,0.49,0.43,0.49,0.386,0.0014,0.003963
LLaMA,6,Modif_ajout_de_sens,1,1,1,0.42,0.245,0.42,0.303,0.0066,0.001425
LLaMA,6,Modif_ajout_de_sens,1,0,1,0.38,0.28,0.38,0.303,0.0066,0.002423
LLaMA,6,Modif_ajout_de_sens,1,1,0,0.38,0.266,0.38,0.304,0.0036,0.001358
LLaMA,6,Modif_sens_vide,2,0,1,0.66,0.76,0.66,0.608,0.0144,0.025365
LLaMA,6,Modif_sens_vide,2,0,0,0.63,0.649,0.63,0.565,0.0116,0.027407
LLaMA,6,Modif_sens_vide,1,1,0,0.57,0.549,0.57,0.521,0.0046,0.013822
LLaMA,6,Modif_sens_vide,2,1,0,0.57,0.667,0.57,0.497,0.0026,0.008636
LLaMA,6,Modif_sens_vide,2,1,1,0.53,0.38,0.53,0.411,0.0036,0.014967
LLaMA,6,Modif_sens_vide,1,1,1,0.51,0.372,0.51,0.407,0.0014,0.010112
LLaMA,6,Modif_sens_vide,1,0,0,0.49,0.406,0.49,0.411,0.0034,0.010389
LLaMA,6,Modif_sens_vide,1,0,1,0.48,0.428,0.48,0.412,0.0006,0.004656
LLaMA,6,Modificateur,1,0,1,0.63,0.726,0.63,0.577,0.0066,0.014555
LLaMA,6,Modificateur,1,1,1,0.61,0.563,0.61,0.508,0.0294,0.052385
LLaMA,6,Modificateur,1,0,0,0.57,0.499,0.57,0.491,0.0086,0.023668
LLaMA,6,Modificateur,1,1,0,0.57,0.526,0.57,0.472,0.0056,0.019641
LLaMA,6,Mult,3,1,0,0.7,0.79,0.7,0.671,0.003,0.006479
LLaMA,6,Mult,3,0,1,0.64,0.765,0.64,0.585,0.0074,0.015318
LLaMA,6,Mult,3,1,1,0.63,0.67,0.63,0.56,0.0086,0.023463
LLaMA,6,Mult,1,0,1,0.62,0.73,0.62,0.57,0.0016,0.006513
LLaMA,6,Mult,2,0,1,0.62,0.618,0.62,0.561,0.0066,0.018677
LLaMA,6,Mult,2,1,1,0.62,0.661,0.62,0.568,0.0106,0.019947
LLaMA,6,Mult,2,1,0,0.61,0.647,0.61,0.559,0.0094,0.01811
LLaMA,6,Mult,3,0,0,0.6,0.708,0.6,0.552,0.001,0.002394
LLaMA,6,Mult,1,0,0,0.57,0.644,0.57,0.524,0.0016,0.002237
LLaMA,6,Mult,2,0,0,0.57,0.652,0.57,0.528,0.0006,0.002493
LLaMA,6,Mult,1,1,0,0.52,0.615,0.52,0.442,0.0016,0.00071
LLaMA,6,Mult,1,1,1,0.49,0.482,0.49,0.425,0.0034,0.004806
LLaMA,6,N_dériv_ajout_de_sens,2,0,0,0.51,0.41,0.51,0.432,0.0004,0.007487
LLaMA,6,N_dériv_ajout_de_sens,2,0,1,0.5,0.4,0.5,0.419,0.0,0.005171
LLaMA,6,N_dériv_ajout_de_sens,2,1,0,0.5,0.415,0.5,0.414,0.004,0.011499
LLaMA,6,N_dériv_ajout_de_sens,2,1,1,0.5,0.433,0.5,0.395,0.001,0.004153
LLaMA,6,N_dériv_ajout_de_sens,1,1,1,0.44,0.3,0.44,0.341,0.0014,0.002667
LLaMA,6,N_dériv_ajout_de_sens,1,0,0,0.39,0.245,0.39,0.296,0.0064,0.002515
LLaMA,6,N_dériv_ajout_de_sens,1,1,0,0.38,0.303,0.38,0.318,0.0026,0.000368
LLaMA,6,N_dériv_ajout_de_sens,1,0,1,0.35,0.245,0.35,0.278,0.004,0.001434
LLaMA,6,N_dériv_circonstancielle,1,0,1,0.53,0.473,0.53,0.43,0.0016,0.009337
LLaMA,6,N_dériv_circonstancielle,1,1,0,0.53,0.384,0.53,0.426,0.0016,0.013122
LLaMA,6,N_dériv_circonstancielle,1,1,1,0.52,0.406,0.52,0.404,0.0016,0.007521
LLaMA,6,N_dériv_circonstancielle,1,0,0,0.48,0.418,0.48,0.382,0.0026,0.00175
LLaMA,6,N_dériv_circonstancielle,3,1,0,0.48,0.355,0.48,0.38,0.0016,0.007826
LLaMA,6,N_dériv_circonstancielle,3,1,1,0.48,0.317,0.48,0.357,0.0006,0.001023
LLaMA,6,N_dériv_circonstancielle,2,1,0,0.47,0.385,0.47,0.401,0.0016,0.006603
LLaMA,6,N_dériv_circonstancielle,3,0,1,0.47,0.324,0.47,0.37,0.0016,0.004634
LLaMA,6,N_dériv_circonstancielle,2,1,1,0.46,0.307,0.46,0.349,0.0014,0.000918
LLaMA,6,N_dériv_circonstancielle,2,0,1,0.41,0.252,0.41,0.307,0.0054,0.001531
LLaMA,6,N_dériv_circonstancielle,3,0,0,0.41,0.257,0.41,0.307,0.0144,0.002863
LLaMA,6,N_dériv_circonstancielle,2,0,0,0.36,0.241,0.36,0.283,0.0064,0.000975
LLaMA,6,Nom_gouverneur,1,0,1,0.66,0.797,0.66,0.599,0.0124,0.024243
LLaMA,6,Nom_gouverneur,1,0,0,0.63,0.768,0.63,0.568,0.0046,0.012638
LLaMA,6,Nom_gouverneur,1,1,0,0.62,0.763,0.62,0.553,0.0046,0.012746
LLaMA,6,Nom_gouverneur,1,1,1,0.6,0.664,0.6,0.513,0.007,0.018871
LLaMA,6,Oper1,4,0,1,0.62,0.694,0.62,0.567,0.0096,0.017377
LLaMA,6,Oper1,2,1,1,0.6,0.665,0.6,0.513,0.007,0.019884
LLaMA,6,Oper1,4,1,1,0.6,0.746,0.6,0.524,0.004,0.012129
LLaMA,6,Oper1,1,0,0,0.59,0.587,0.59,0.529,0.0094,0.021266
LLaMA,6,Oper1,4,0,0,0.59,0.689,0.59,0.531,0.0014,0.005173
LLaMA,6,Oper1,2,0,1,0.58,0.554,0.58,0.484,0.0046,0.016212
LLaMA,6,Oper1,3,1,1,0.58,0.454,0.58,0.473,0.0096,0.029524
LLaMA,6,Oper1,4,1,0,0.58,0.701,0.58,0.515,0.0016,0.004936
LLaMA,6,Oper1,1,1,0,0.57,0.562,0.57,0.497,0.0036,0.012895
LLaMA,6,Oper1,2,1,0,0.57,0.628,0.57,0.521,0.0046,0.006419
LLaMA,6,Oper1,3,0,1,0.57,0.62,0.57,0.492,0.0036,0.007855
LLaMA,6,Oper1,2,0,0,0.56,0.598,0.56,0.479,0.0024,0.011279
LLaMA,6,Oper1,1,0,1,0.55,0.689,0.55,0.474,0.001,0.002508
LLaMA,6,Oper1,1,1,1,0.54,0.503,0.54,0.442,0.0044,0.01424
LLaMA,6,Oper1,3,0,0,0.5,0.374,0.5,0.404,0.006,0.014646
LLaMA,6,Oper1,3,1,0,0.48,0.409,0.48,0.409,0.0026,0.006593
LLaMA,6,Oper2,4,0,1,0.56,0.535,0.56,0.457,0.0034,0.013555
LLaMA,6,Oper2,4,0,0,0.54,0.544,0.54,0.467,0.0004,0.005961
LLaMA,6,Oper2,4,1,1,0.51,0.37,0.51,0.393,0.0004,0.005395
LLaMA,6,Oper2,3,0,1,0.5,0.526,0.5,0.405,0.002,0.001988
LLaMA,6,Oper2,2,0,0,0.49,0.419,0.49,0.406,0.0134,0.023628
LLaMA,6,Oper2,2,0,1,0.49,0.429,0.49,0.407,0.0054,0.011372
LLaMA,6,Oper2,3,1,0,0.46,0.324,0.46,0.351,0.0024,0.002035
LLaMA,6,Oper2,4,1,0,0.46,0.35,0.46,0.359,0.0034,0.000745
LLaMA,6,Oper2,3,1,1,0.45,0.314,0.45,0.35,0.004,0.00296
LLaMA,6,Oper2,2,1,1,0.44,0.268,0.44,0.326,0.0024,0.001594
LLaMA,6,Oper2,3,0,0,0.44,0.302,0.44,0.34,0.0034,0.002262
LLaMA,6,Oper2,2,1,0,0.4,0.257,0.4,0.307,0.001,0.002151
LLaMA,6,Oper2,1,0,0,0.39,0.239,0.39,0.292,0.0034,0.000357
LLaMA,6,Oper2,1,0,1,0.39,0.252,0.39,0.297,0.0064,0.000603
LLaMA,6,Oper2,1,1,1,0.38,0.209,0.38,0.267,0.0226,0.007726
LLaMA,6,Oper2,1,1,0,0.33,0.191,0.33,0.241,0.0166,0.005873
LLaMA,6,Oper_i,2,1,1,0.54,0.348,0.54,0.412,0.0114,0.028544
LLaMA,6,Oper_i,3,1,1,0.51,0.363,0.51,0.385,0.0004,0.005325
LLaMA,6,Oper_i,2,1,0,0.49,0.357,0.49,0.383,0.0014,0.005074
LLaMA,6,Oper_i,3,0,1,0.49,0.357,0.49,0.383,0.0014,0.005074
LLaMA,6,Oper_i,3,1,0,0.49,0.39,0.49,0.385,0.0004,0.002034
LLaMA,6,Oper_i,1,1,1,0.48,0.32,0.48,0.364,0.0006,0.002013
LLaMA,6,Oper_i,1,1,0,0.45,0.321,0.45,0.346,0.004,0.002843
LLaMA,6,Oper_i,2,0,1,0.44,0.275,0.44,0.33,0.0034,0.003702
LLaMA,6,Oper_i,3,0,0,0.43,0.307,0.43,0.33,0.0076,0.003159
LLaMA,6,Oper_i,1,0,1,0.41,0.262,0.41,0.309,0.0034,0.000229
LLaMA,6,Oper_i,1,0,0,0.39,0.271,0.39,0.305,0.0104,0.001456
LLaMA,6,Oper_i,2,0,0,0.38,0.244,0.38,0.293,0.0006,0.000873
LLaMA,6,Pred,3,1,0,0.65,0.746,0.65,0.599,0.008,0.01986
LLaMA,6,Pred,2,0,0,0.64,0.643,0.64,0.584,0.0094,0.022258
LLaMA,6,Pred,3,0,0,0.6,0.573,0.6,0.557,0.01,0.022156
LLaMA,6,Pred,2,1,0,0.58,0.542,0.58,0.521,0.0066,0.018285
LLaMA,6,Pred,3,0,1,0.57,0.642,0.57,0.509,0.0016,0.005286
LLaMA,6,Pred,2,1,1,0.55,0.647,0.55,0.487,0.001,0.00083
LLaMA,6,Pred,1,0,0,0.54,0.537,0.54,0.469,0.0014,0.007583
LLaMA,6,Pred,1,1,1,0.53,0.462,0.53,0.442,0.0026,0.010259
LLaMA,6,Pred,1,1,0,0.52,0.422,0.52,0.44,0.0046,0.015758
LLaMA,6,Pred,2,0,1,0.52,0.481,0.52,0.44,0.0016,0.006277
LLaMA,6,Pred,3,1,1,0.52,0.589,0.52,0.461,0.0026,0.002754
LLaMA,6,Pred,1,0,1,0.38,0.285,0.38,0.308,0.0126,0.009513
LLaMA,6,Qual1,4,0,1,0.55,0.645,0.55,0.481,0.003,0.006298
LLaMA,6,Qual1,2,1,0,0.52,0.56,0.52,0.486,0.0096,0.008741
LLaMA,6,Qual1,1,1,0,0.51,0.595,0.51,0.461,0.0034,0.002696
LLaMA,6,Qual1,4,1,1,0.51,0.516,0.51,0.441,0.0124,0.013614
LLaMA,6,Qual1,3,1,1,0.49,0.479,0.49,0.406,0.0024,0.002496
LLaMA,6,Qual1,4,0,0,0.49,0.48,0.49,0.446,0.0004,0.002319
LLaMA,6,Qual1,3,0,1,0.48,0.426,0.48,0.418,0.0016,0.003931
LLaMA,6,Qual1,4,1,0,0.48,0.526,0.48,0.453,0.0166,0.012127
LLaMA,6,Qual1,2,0,1,0.47,0.392,0.47,0.401,0.0046,0.00896
LLaMA,6,Qual1,1,1,1,0.46,0.402,0.46,0.379,0.0024,0.000689
LLaMA,6,Qual1,2,1,1,0.46,0.371,0.46,0.391,0.0024,0.008995
LLaMA,6,Qual1,3,1,0,0.46,0.352,0.46,0.375,0.0054,0.005277
LLaMA,6,Qual1,1,0,1,0.45,0.376,0.45,0.382,0.001,0.001915
LLaMA,6,Qual1,3,0,0,0.45,0.305,0.45,0.351,0.003,0.005261
LLaMA,6,Qual1,1,0,0,0.42,0.392,0.42,0.38,0.0016,0.001603
LLaMA,6,Qual1,2,0,0,0.41,0.336,0.41,0.35,0.0044,0.005852
LLaMA,6,Real1,4,0,0,0.65,0.789,0.65,0.588,0.009,0.019482
LLaMA,6,Real1,3,0,1,0.64,0.68,0.64,0.572,0.0104,0.02464
LLaMA,6,Real1,3,0,0,0.63,0.664,0.63,0.561,0.0096,0.023014
LLaMA,6,Real1,4,0,1,0.63,0.772,0.63,0.563,0.0086,0.018054
LLaMA,6,Real1,2,0,1,0.61,0.734,0.61,0.547,0.0034,0.007833
LLaMA,6,Real1,3,1,0,0.61,0.568,0.61,0.537,0.0214,0.042796
LLaMA,6,Real1,2,1,0,0.59,0.744,0.59,0.512,0.0034,0.009521
LLaMA,6,Real1,4,1,0,0.59,0.631,0.59,0.512,0.0034,0.013582
LLaMA,6,Real1,4,1,1,0.59,0.566,0.59,0.49,0.0094,0.025805
LLaMA,6,Real1,1,0,1,0.58,0.708,0.58,0.509,0.0016,0.005045
LLaMA,6,Real1,1,1,1,0.58,0.445,0.58,0.474,0.0106,0.03114
LLaMA,6,Real1,2,1,1,0.58,0.577,0.58,0.466,0.0126,0.028618
LLaMA,6,Real1,3,1,1,0.58,0.44,0.58,0.473,0.0186,0.040053
LLaMA,6,Real1,5,1,1,0.56,0.548,0.56,0.451,0.0034,0.012817
LLaMA,6,Real1,1,0,0,0.55,0.556,0.55,0.464,0.003,0.010196
LLaMA,6,Real1,5,0,1,0.55,0.539,0.55,0.437,0.002,0.008854
LLaMA,6,Real1,2,0,0,0.54,0.638,0.54,0.472,0.0004,0.001043
LLaMA,6,Real1,5,0,0,0.54,0.587,0.54,0.481,0.0014,0.004705
LLaMA,6,Real1,5,1,0,0.54,0.576,0.54,0.463,0.0034,0.009116
LLaMA,6,Real1,1,1,0,0.52,0.472,0.52,0.417,0.0006,0.005071
LLaMA,6,Real2,2,0,1,0.57,0.516,0.57,0.474,0.0086,0.023797
LLaMA,6,Real2,5,0,0,0.56,0.538,0.56,0.455,0.0034,0.014479
LLaMA,6,Real2,2,0,0,0.55,0.412,0.55,0.442,0.004,0.018471
LLaMA,6,Real2,3,0,1,0.55,0.504,0.55,0.454,0.003,0.01332
LLaMA,6,Real2,3,1,1,0.55,0.554,0.55,0.467,0.002,0.009828
LLaMA,6,Real2,5,0,1,0.55,0.515,0.55,0.469,0.007,0.018323
LLaMA,6,Real2,3,1,0,0.54,0.568,0.54,0.449,0.0014,0.006216
LLaMA,6,Real2,4,1,0,0.54,0.436,0.54,0.416,0.0034,0.014388
LLaMA,6,Real2,1,0,0,0.53,0.486,0.53,0.422,0.0006,0.005953
